CÓDIGO,CÓDIGO PROVEEDOR,CLASIFICACIÓN,DESCRIPCIÓN,PESENTACIÓN,CATEGORIA ABASTECIMIENTO, REFERENCIA CONSUMO UNITARIO ANUAL 2019,CANTIDAD VENDIDA HS AÑO 2019,ABC,Marca Ofertada,Precio  unitario ofertado paraComplejo Uruca,% descuento,DESCUENTO,IVA,PRECIO FINAL,Columna1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX242,no disponible,,SACUBITRIL/VALSARTÁN 50 MG,Tableta unitario,No Lom,140,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09237,10100061,,SALBUTAMOL CON  IPRATROPIO BROMURO ,Ampolla para inhalación,Almacenable,17703,,A,BOEHRINGER," ₡1,488.00 ",30%, 446.40 ,2%,1062.43,COMBIVENT SOLUCION *10 AMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09239,10100011,,SALBUTAMOL PARA RESPIRADOR  FRASCO,Ampolla para inhalación,Z,37,,C,UNIPHARM," ₡5,662.00 ",20%," 1,132.40 ",2%,4620.19,BRONCOMAT SOLUCION P/RESPIRADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02070,10100101,,SALBUTAMOL SOLUCIÓN AEROSOL ,Inhalador oral,Almacenable,391,,A,," ₡2,611.00 ",30%, 783.30 ,2%,1864.25,SALBUTAMOL SALDEN INHALADOR 1+1 100MCG/DOSIS AEROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09241,no disponible,Críticos,SENOSIDOS A Y B TABLETA,Tableta unitario,Z,8263,,B,, no disponible ,25%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01159,,,SERTRALINA 50 MG TABLETA***,Tableta unitario,Almacenable,37020,,A,GUTIS, ₡480.00 ,30%, 144.00 ,2%,342.72,GUTIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04162,no disponible,,SEVOFLURANO ,Frasco inyectable,Almacenable,354,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX216,15010020,,SILDENAFIL 100 MG TABLETA ORIGINAL,Tableta unitario,No Lom,390,,C,PFIZER," ₡2,461.00 ",20%, 492.20 ,2%,2008.18,VIAGRA 100 MG* 4 TABS 3+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01199,15010009,,"SILDENAFIL 100 MG
TABLETA",Tableta unitario,Almacenable,4745,,B,GENFAR," ₡2,828.43 ",25%, 707.11 ,2%,2163.75,SILDENAFIL GENFAR 100MG.*1 TAB.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01198,15010010,Críticos,"SILDENAFIL 50 MG
TABLETA",Tableta unitario,Almacenable,1176,,B,GENFAR, ₡921.00 ,25%, 230.25 ,2%,704.57,SILDENAFIL GENFAR 50 MG.*4 TAB.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04118,no disponible,,"SODIO BICARBONATO 8,4% (84 MG/ML) 1 MOLAR
SOLUCIÓN INYECTABLE 10 ML",Ampolla,Almacenable,3173,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09246,no disponible,,SUCCINILCOLINA COLINA CLORURO 50 MG/ML ,Frasco inyectable,Transito,285,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX150,10040253,,SUCRALFATO 1 G/ 5 ML SUSPENSION ORAL,Frasco 200mL,No Lom,11,,C,sucralgastric," ₡7,060.00 ",20%," 1,412.00 ",2%,5760.96,SUCRALGASTRIC 1G/5ML FRASCO 200ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04135,,,SUGAMADEX  (COMO SAL SÓDICA) 100 MG/ML SOLUCIÓN INYECTABLE 2 ML,Frasco inyectable,Transito,200,,C,," ₡98,000.00 ",20%," 19,600.00 ",2%,79968.00,BRIDION 100MG/ML SOLUCION INYECTABLE X 10 VIALES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02079,16130025,,SULFADIAZINA DE PLATA 1% CREMA,Tubo 50-60 gramos,Almacenable,6152,,B,STEIN ," ₡3,426.00 ",25%, 856.50 ,2%,2620.89,SULFADIAZINA PLATA STEIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M11110,10020002,,"SUPLEMENTO ESPECIALIZADO CON GLUTAMINA 7-10G, ARGININA 7-8G CON VITAMINAS",Sobres,Z,3558,,B,NUTRICARE," ₡7,190.00 ",25%," 1,797.50 ",2%,5500.35,ABINTRA NARANJA 27G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M11200,80810069,,SUPLEMENTO PROTEICO ENTERAL EN POLVO ,Lata 275g,Z,799,,B,," ₡14,384.00 ",25%," 3,596.00 ",2%,11003.76,PROTEINEX 275 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX232,no disponible,,"SUPLEMENTO PROTEÍCO TRIGLICÉRIDOS CADENA MEDIA, PROTEÍNA DE COLÁGENO HIDROLIZADA Y PROTEÍNA DE SUERO",Sobre 45mL,No Lom,157,,C,, no disponible ,20%,#VALUE!,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09252,10011956,Críticos,TADALAFILO 20 MG/TABLETA,Tableta unitario,Z,1029,,B,," ₡2,367.00 ",25%, 591.75 ,2%,1810.76,FERMET 20 MG X 1 TAB.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX152,15010031,,"TADALAFILO 5 MG 
TABLETA",Tableta unitario,No Lom,30,,C,CALOX," ₡1,290.00 ",20%, 258.00 ,2%,1052.64,TADALAFILO CALOX  5 MG * 30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02081,no disponible,,TALCO PARA OSTOMÍA ,,No Lom,34,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX153,10010321,,"TAMSULOSINA 0,4 MG CÁPSULA",Cápsula unitario,No Lom,690,,C,," ₡1,136.00 ",20%, 227.20 ,2%,926.98,ESPONTAL 0.4MG *30 CAPULAS .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01166,10010708,,TEOFILINA 150 MG TABLETA,Tableta unitario,No Lom,108,,C,LISAN, ₡120.00 ,20%, 24.00 ,2%,97.92,TEOFILINA LISAN 150 MG.*30 TAB.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09255,10033106,,TESTOSTERONA 250 MG /AMP,Ampolla,Z,0,,C,," ₡11,295.00 ",20%," 2,259.00 ",2%,9216.72,SOSTENON 250 MG*1 JERINGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX155,10033145,,"TESTOSTERONA ENANTATO 1000 MG 
SOLUCIÓN INYECTABLE 4 ML ",Jeringa prellenada,No Lom,8,,C,," ₡56,266.00 ",20%," 11,253.20 ",2%,45913.06,NEBIDO 1000MG/4ML * 1AMP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M03025,10070092,,"TETRACAÍNA HIDROCLORURO 0,5%
SOLUCIÓN OFTÁLMICA",Frasco gotero 10mL,Almacenable,138,,C,ALCAMES," ₡6,720.49 ",20%," 1,344.10 ",2%,5483.92,TETRACAINA CLORHIDRATO 0.50% 10 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M03028,no disponible,,TETRACICLINA U OXITETRACICLINA CON POLIMIXINA B ungüento oftálmico,Tubo 15 gramos,Almacenable,1316,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02082,10080012,,TETRAHIDROZOLINA 0.1% U OXIMET. SOLUCIÓN NASAL GOTAS,Frasco gotero 10-20mL,Transito,203,,C,ALCAMES," ₡3,405.00 ",20%, 681.00 ,2%,2778.48,ALCAMIN GOTAS PEDIATRICAS NASALES 10 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M03031,10070048,,TETRAHIDROZOLINA U OXIMETAZOLINA SOLUCIÓN OFTÁLMICA.,Frasco gotero 10- 15mL,Almacenable,1998,,C,"JOHNSON ""&"" JOHNSON"," ₡3,128.00 ",20%, 625.60 ,2%,2552.45,VISINA SOL.OFT. 15 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04134,no disponible,,TIGECICLINA 50MG ,Frasco inyectable,Almacenable,669,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M03034,10070020,,"TIMOLOL BASE (COMO MALEATO DE TIMOLOL) 0,5% (5 MG/ML)
SOLUCIÓN OFTÁLMICA",Frasco gotero 5mL,Almacenable,43,,C,SOPHIA," ₡16,269.00 ",20%," 3,253.80 ",2%,13275.50,IMOT OFTENO 0.5 % 15 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01174,10011628,Críticos,TIOCOLCHICÓSIDO 4 MG ,Tableta unitario,Z,7750,,B,GUTIS, ₡693.00 ,25%, 173.25 ,2%,530.15,CONTRACTIL 4MG * 10TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01173,10011630,,TIZANIDINA 4 MG ,Tableta unitario,Almacenable,518009,,A,sirdalud, ₡897.00 ,30%, 269.10 ,2%,640.46,SIRDALUD 4MG *30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09256,16070018,,TOBRAMCINA 0.3 %  +DEXAMETASONA  0.1 % GOTAS OFTÁLMICAS,Frasco gotero 5mL,Z,617,,C,PROCAPS," ₡9,960.00 ",20%," 1,992.00 ",2%,8127.36,"TOBRACORT 0,3% 6ML SOL OFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09258,10070006,,TOBRAMICINA 0.3 % GOTAS OFTALMICAS ,Frasco gotero 5mL,Z,104,,C,xolof," ₡14,200.00 ",20%," 2,840.00 ",2%,11587.20,XOLOF NICOLICH SOLUCIÓN GOTAS  5ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09259,16070017,,TOBRAMICINA 0.3 % UNGÜENTO OFTALMICO,Tubo 3.5 gramos,Z,20,,C,xolof," ₡8,095.00 ",20%," 1,619.00 ",2%,6605.52,"XOLOF NICOLICH 0,3% 3,5 G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01181,,Críticos,"TOLTERODINA 2 MG
TABLETA",Tableta unitario,Almacenable,11426,,B,detrusitol 2mg, ₡953.40 ,25%, 238.35 ,2%,729.35,DETRUSITOL 2 MG X 28 TABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX157,no disponible,,"TOLTERODINA 4 MG 
TABLETA LIBERACIÓN PROLONGADA",Tableta unitario,No Lom,0,,C,detrusitol 4mg, no disponible ,20%,#VALUE!,2%,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX158,10011670,Críticos,"TOPIRAMATO 100 MG*** 
TABLETA",Tableta unitario,No Lom,6240,,A,JANSEN," ₡1,846.00 ",30%, 553.80 ,2%,1318.04,TOPAMAC 100MG * 20 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX159,no disponible,Críticos,"TOPIRAMATO 25 MG*** 
TABLETA",Tableta unitario,No Lom,7660,,A,, no disponible ,30%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08142,no disponible,Críticos,TOXINA BOTULINICA TIPO A 100 U ,Frasco inyectable,Transito,60,,C,botox, no disponible ,20%,#VALUE!,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04136,10033109,,TRAMADOL 100 MG AMPOLLA ,Ampolla,Almacenable,74878,,A,NORMON, ₡842.00 ,30%, 252.60 ,2%,601.19,TRAMADOL NORMON 100 MG.AMP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01189,10010725,,TRAMADOL 100 MG/CAPSULA LIBERACIÓN LENTA ,Cápsula unitario,Almacenable,82653,,A,GRUNENTHAL," ₡2,000.00 ",30%, 600.00 ,2%,1428.00,TRAMAL LONG 100 MG*10 TABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09262,10011765,,TRAMADOL 50 MG CÁPSULAS ,Cápsula unitario,Almacenable,266762,,A,GENFAR, ₡338.00 ,30%, 101.40 ,2%,241.33,TRAMADOL GENFAR 50MG*10 CAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01184,10050045,,TRAMADOL GOTAS  (con gotero calibrado para dosificar por cada mililitro 40 gotas). ,Frasco gotas 10mL,Almacenable,27335,,A,genfar," ₡14,060.00 ",30%," 4,218.00 ",2%,10038.84,TRAMADOL GENFAR GOTAS 10 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04139,no disponible,,TRIANCINOLONA 1% Ó 2.5% ,Frasco inyectable,Almacenable,1977,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX222,,,TRIMETAZIDINA 35 MG TABLETA,Tableta unitario,No Lom,60,,C,VASTAREL, ₡523.18 ,20%, 104.64 ,2%,426.91,VASTAREL MR 35 MG X 60 COMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10205,no disponible,,TRIMETOPRIM 160MG/10 ML CON SULFAMETOXAZOL 800 MG / 10ML ,Solución inyectable,Z,232,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01188,16040028,,TRIMETOPRIM CON SULFAMETOXAZOL 200MG + 40MG/5ML,Frasco 120mL,Z,14,,C,LISAN," ₡3,082.00 ",20%, 616.40 ,2%,2514.91,TRIMETOPRIMA SULFA 120 ML.LISAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01187,16040027,,TRIMETROPRIMA / SULFAMETOXAZOL 160/800 MG ,Tableta unitario,Almacenable,168662,,A,LA SANTE, ₡390.00 ,30%, 117.00 ,2%,278.46,TRIMETOPRIMA SULFA LA SANTE 160MG/800*20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09371,10070111,,TROPICAMIDA 05 % + FENILEFRINA 5 % FRACO USO OFTALMICO,Frasco gotero  5mL,Z,49,,C,t-p ofteno," ₡18,063.00 ",20%," 3,612.60 ",2%,14739.41,T-P OFTENO COLIRIO 0.8%-5% 15 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M07005,10033159,Críticos,VACUNA ANTINEUMOCOCICA CONJUGADA 13-VALENTE,Jeringa prellenada,Z,36,,C,," ₡57,133.00 ",20%," 11,426.60 ",2%,46620.53,PREVENAR 13 V PED-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M07010,13030008,Críticos,VACUNA ANTIRRABICA 0.5 ML ,Frasco inyectable,Transito,52,,C,," ₡29,998.00 ",20%," 5,999.60 ",2%,24478.37,"VERORAB 0,5ML VACUNA.**FRIO**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M07004,13030004,,VACUNA ANTITETÁNICA COMO TD O DTPA 0.5 ML ,Jeringa prellenada o frasco inyectable,Almacenable,1,,C,," ₡23,636.00 ",20%," 4,727.20 ",2%,19286.98,ADACEL 0.5 ML.*1 DOSIS**FRIO**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M07007,13030035,Críticos,VACUNA HEPATITIS B 20UG/ML 1 ML,Jeringa prellenada o frasco inyectable,Transito,306,,C,," ₡16,850.00 ",20%," 3,370.00 ",2%,13749.60,ENGERIX-B 20 MCG ADTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09267,10033259,,VACUNA INACTIVADA PURIFICADA CONTRA LA GRIPE,Jeringa prellenda,Z,62,,C,," ₡11,756.00 ",20%," 2,351.20 ",2%,9592.90,VAXIGRIP ADULTOS 0.5ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M07006,13030003,Críticos,VACUNA NEUMOCÓCICA POLISACÁRIDA 23-VALENTE. SOLUCIÓN INYECTABLE. ,Jeringa prellenada,Transito,23,,C,," ₡16,415.00 ",20%," 3,283.00 ",2%,13394.64,PNEUMO 23 CON JERINGA**FRIO**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08101,,,"VANCOMICINA 500 MG (COMO HIDROCLORURO)
POLVO LIOFILIZADO PARA INYECCIÓN",Frasco inyectable,Almacenable,56793,,A,," ₡8,478.96 ",30%," 2,543.69 ",2%,6053.98,"VANCOMICINA 500 MG (COMO HIDROCLORURO)X 10  UNI
POLVO LIOFILIZADO PARA INYECCIÓN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX164,10010968,,VENLAFAXINA 75 MG CÁPSULA,Cápsula unitario,No Lom,510,,C,sesaren," ₡34,459.00 ",20%," 6,891.80 ",2%,28118.54,SESAREN 75MG XR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX237,10011216,,VERAPAMILO 240 MG SR,Tableta unitario,No Lom,20,,C,," ₡1,371.00 ",20%, 274.20 ,2%,1118.74,ISOPTIN SR 240 MG TAB X 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09275,,,"VERAPAMILO 5 MG/AMP, DE 2ML O DE 2.2 ML ",Ampolla,Transito,22,,C,," ₡8,143.80 ",20%," 1,628.76 ",2%,6645.34,VERAPAMILO AMPOLLAS 5MG/2ML SANDERSON X10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09274,10010872,,VERAPAMILO 80 MG,Tableta unitario,Z,2440,,C,, ₡375.00 ,20%, 75.00 ,2%,306.00,ISOPTIN 80MG X 50 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX165,,,VINCAMINA 20 MG + PIRACETAM 400 MG CÁPSULA,Cápsula unitario,No Lom,1440,,B,devincal, ₡617.82 ,25%, 154.46 ,2%,472.63,DEVINCAL X 30 CAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01194,no disponible,,VITAMINA B1 100 MG TABLETA  ,Tableta unitario,Almacenable,10076,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04142,,,VITAMINA B1 100 MG./ML INYECTABLE ,Frasco inyectable,Almacenable,270,,C,," ₡2,664.42 ",20%, 532.88 ,2%,2174.17,VITAMINA B1 ALCAMES IM X UNIDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04145,10033121,,VITAMINA B12 100 MG./ML INYECTABLE ,Frasco inyectable,Almacenable,1363,,C,ALCAMES," ₡2,400.00 ",20%, 480.00 ,2%,1958.40,VITAMINA B12 ALCAMES 10 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01197,10011978,,VITAMINA C 500 MG ,Tableta unitario,Almacenable,97904,,C,GUTIS, ₡127.00 ,20%, 25.40 ,2%,103.63,VITAMINA C 500MG X 100 TAB GUTIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04250,,,VORICONAZOL 10 MG / ML VIAL DE 20 ML ,Frasco inyectable,Z,100,,C,V-FEND," ₡110,544.00 ",20%," 22,108.80 ",2%,90203.90,V-FEND 200 mg x 1 VIAL [HOSPITALARIA] VORICONAZOL 10 MG / ML VIAL DE 20 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01250,,,VORICONAZOL 200 MG ,Tableta unitario,Z,382,,B,," ₡32,641.21 ",25%," 8,160.30 ",2%,24970.53,V-FEND 200 mg X 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM01004,,,APLICADORES DE ALGODÓN PAQUETE ,Paquete con 100 aplicadores,Almacenable,231,,C,, ₡490.00 ,20%, 98.00 ,2%,399.84,APLICADORES DYNAREX LARGO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM08001,,,BASTON  DE 1 PUNTO AJUSTABLE,Unidad,Almacenable,3812,,B,," ₡5,950.00 ",25%," 1,487.50 ",0%,4462.50,BASTON MEDLINE ALUMINIO 1 PUNTO AJUSTABLE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM08002,,,BASTON DE 4 PUNTOS AJUSTABLE,Unidad,Almacenable,109,,C,," ₡13,300.00 ",20%," 2,660.00 ",0%,10640.00,BASTON CUADRUPLE AD 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM03007,,,BIDE PLÁSTICO,Unidad,Almacenable,4,,C,," ₡1,365.00 ",20%, 273.00 ,0%,1092.00,BIDE MEDLINE DESCARTABLE AMARILLO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM03010,50520410,,BOLSA COLECTORA DE ORINA CAMA,Unidad,Almacenable,2563,,B,, ₡910.00 ,25%, 227.50 ,2%,696.15,BOLSA COLECTORA DE ORINA CAMA SIMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM03013,50522737,,BOLSA COLECTORA DE ORINA PIERNA,Unidad,Almacenable,4999,,B,," ₡1,330.00 ",25%, 332.50 ,2%,1017.45,BOLSA P/PIERNA DE ORINA 600 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM03564,,,BOTA ORTOPEDICA INMOVILIZADORA,Unidad,Almacenable,7,,C,," ₡49,000.00 ",20%," 9,800.00 ",0%,39200.00,BOTA BLUNDING ONE S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM03800,,,BOTA ORTOPEDICA INMOVILIZADORA M,Unidad,Almacenable,14,,C,," ₡49,000.00 ",20%," 9,800.00 ",0%,39200.00,BOTA BLUNDING ONE M ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM03801,,,BOTA ORTOPEDICA INMOVILIZADORA TALLA L,Unidad,Almacenable,9,,C,," ₡49,000.00 ",20%," 9,800.00 ",0%,39200.00,BOTA BLUNDING ONE L ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04009,,,CABESTRILLO DE TELA EXTRAGRANDE,Unidad,Almacenable,930,,C,," ₡3,500.00 ",20%, 700.00 ,0%,2800.00,CABESTRILLO GRANDE CAB L ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04008,,,CABESTRILLO DE TELA GRANDE,Unidad,Almacenable,7646,,B,," ₡3,500.00 ",25%, 875.00 ,0%,2625.00,CABESTRILLO MEDIANO CAB M ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04007,,,CABESTRILLO DE TELA MEDIANO,Unidad,Almacenable,4338,,B,," ₡3,500.00 ",25%, 875.00 ,0%,2625.00,CABESTRILLO MEDIANO CAB M ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM01028,,,CINTA ADHESIVA MICROPORO HIPOALERGÉNICA ,Unidad,Almacenable,4043,,B,," ₡2,735.60 ",25%, 683.90 ,0%,2051.70,"ESPARADRAPO MICROPORE 2"" X 360"" 0016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM08013,,,COJIN TIPO DONA DE ESPUMA DE URETANO,Unidad,Almacenable,9,,C,," ₡17,500.00 ",20%," 3,500.00 ",0%,14000.00,COJIN ANATOMICO DONA PROURSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM08012,,,"COJIN TIPO DONA DE HULE, INFLABLE",Unidad,Almacenable,5,,C,," ₡7,770.00 ",20%," 1,554.00 ",0%,6216.00,DONA GRAHAM FIELD HULE 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04012,,,COLLAR DE THOMAS GRANDE,Unidad,Almacenable,69,,C,," ₡15,400.00 ",20%," 3,080.00 ",0%,12320.00,COLLAR DE THOMAS GRANDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04011,,,COLLAR DE THOMAS MEDIANO,Unidad,Almacenable,216,,C,," ₡15,400.00 ",20%," 3,080.00 ",0%,12320.00,COLLAR DE THOMAS TALLA M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04010,,,COLLAR DE THOMAS PEQUEÑO,Unidad,Almacenable,47,,C,," ₡15,400.00 ",20%," 3,080.00 ",0%,12320.00,COLLAR DE THOMAS TALLA S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04013,,,COLLAR TIPO FILADELFIA GRANDE,Unidad,Almacenable,20,,C,," ₡16,800.00 ",20%," 3,360.00 ",0%,13440.00,COLLAR TIPO FILADELFIA CERVICAL ML ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04016,,,COLLAR TIPO FILADELFIA MEDIANO,Unidad,Almacenable,61,,C,," ₡16,800.00 ",20%," 3,360.00 ",0%,13440.00,COLLAR TIPO FILADELFIA CERVICAL L XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04019,,,COLLAR TIPO FILADELFIA PEQUEÑO,Unidad,Almacenable,14,,C,," ₡16,800.00 ",20%," 3,360.00 ",0%,13440.00,COLLAR TIPO FILADELFIA CERVICAL SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04089,,,"CUELLO BLANDO CERVICAL, TALLA L",Unidad,Almacenable,2,,C,," ₡4,200.00 ",20%, 840.00 ,0%,3360.00,"CUELLO BLANDO CERVICAL, TALLA L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04090,,,"CUELLO BLANDO CERVICAL, TALLA M",Unidad,Almacenable,11,,C,," ₡4,200.00 ",20%, 840.00 ,0%,3360.00,"CUELLO BLANDO CERVICAL, TALLA M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04091,,,"CUELLO BLANDO CERVICAL, TALLA S",Unidad,Almacenable,3,,C,," ₡4,200.00 ",20%, 840.00 ,0%,3360.00,"CUELLO BLANDO CERVICAL, TALLA S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM03626,,,ESPAC VOL PLASTI ATOXICO BOQUILLA ADULTO,Unidad,Almacenable,31,,C,," ₡7,820.40 ",20%," 1,564.08 ",0%,6256.32,ESPACIADOR C/MASCARILLA NEBULIZAR T: L VIAMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM01037,,,ESPARADRAPO FRACCIONADO ,Unidad,Almacenable,57,,C,, ₡915.70 ,20%, 183.14 ,0%,732.56,ESPARADRAPO PROSAN 2.5 CM X 5 M ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM04036,,,FAJA DE TORAX EXTRAGRANDE  120 CM,Unidad,Almacenable,37,,C,," ₡9,800.00 ",20%," 1,960.00 ",0%,7840.00,FAJA TORACICA L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
